uid,population,commuters,ratio
17133,27619,9015,0.326405735182
17135,30652,3933,0.128311366306
17137,36616,3640,0.099410093948
17139,14287,3233,0.226289633933
17141,51032,10498,0.205714061765
17143,183433,12807,0.069818407811
17145,23094,3659,0.158439421495
17147,16365,4915,0.300336083104
17149,17384,2625,0.151000920387
17151,4413,1103,0.249943349196
17153,7348,1528,0.207947740882
17155,6086,1666,0.27374301676
17157,33893,4211,0.124243944177
17159,16149,1329,0.0822961174067
17161,149374,17041,0.114082772102
17163,256082,43057,0.168137549691
17165,26733,2619,0.0979688026035
17167,188951,5136,0.0271816502691
17169,7189,1663,0.231325636389
17171,5537,1645,0.297092288243
17173,22893,5214,0.227755209016
17175,6332,1527,0.241156032849
17177,48979,4739,0.0967557524653
17179,128485,27881,0.216998093163
17181,18293,2708,0.148034767397
17183,83919,4904,0.0584373026371
17185,12937,2349,0.181572234676
17187,18735,3658,0.19524953296
17189,15148,3144,0.207552152099
17191,17151,2543,0.148271237829
17193,15371,2400,0.156138182291
17195,60653,7599,0.125286465632
17197,502266,134396,0.267579330474
17199,61296,8603,0.140351735839
17201,278418,17385,0.062442083486
17203,35469,9826,0.27703064648
18001,33625,4572,0.135970260223
18003,331849,14571,0.0439085246603
18005,71435,5106,0.071477567019
18007,9421,2316,0.245833775608
18009,14048,2915,0.20750284738
18011,46107,12696,0.275359489882
18013,14957,4545,0.303871097145
18015,20165,5336,0.264616910488
18017,40930,5072,0.123918885903
18019,96472,23644,0.245086657268
18021,26556,6127,0.23071998795
18023,33866,5584,0.164885135534
18025,10743,2861,0.266312947966
18027,29820,4030,0.135144198524
18029,46109,13203,0.286343230172
18031,24555,3105,0.126450824679
18033,40285,6692,0.166116420504
18035,118769,9268,0.0780338303766
18037,39674,1904,0.0479911276907
18039,182791,9799,0.0536076721502
18041,25588,3464,0.13537595748
18043,70823,20444,0.28866328735
18045,17954,3765,0.209702573243
18047,22151,6889,0.311001760643
18049,20511,3559,0.173516649603
18051,32500,6038,0.185784615385
18053,73403,5438,0.0740841654973
18055,33157,7669,0.231293542842
18057,182740,51199,0.28017401773
18059,55391,18032,0.325540250221
18061,34325,9836,0.286554989075
18063,104093,33451,0.321356863574
18065,48508,8964,0.18479426074
18067,84964,4211,0.0495621675062
18069,38075,7000,0.183847669074
18071,41335,4544,0.109931051167
18073,30043,5580,0.18573378158
18075,21806,3896,0.178666422086
18077,31705,3255,0.102665194764
18079,27554,5737,0.208209334398
18081,115209,34202,0.296869168207
18083,39256,2923,0.0744599551661
18085,74057,9317,0.125808498859
18087,34909,6011,0.17219055258
18089,484564,58304,0.120322599285
18091,110106,13034,0.118376836866
18093,45922,7188,0.156526283698
18095,133358,19371,0.145255627709
18097,860454,56185,0.0652969246468
18099,45128,6832,0.151391597235
18101,10369,2077,0.200308612209
18103,36082,6701,0.185715869409
18105,120563,6544,0.054278675879
18107,37629,3589,0.0953785644051
18109,66689,20048,0.300619292537
18111,14566,3854,0.264588768365
18113,46275,8711,0.188244192328
18115,5623,1852,0.329361550774
18117,19306,3074,0.159225111364
18119,21786,6266,0.287615900119
18121,17241,3744,0.217156777449
18123,18899,3424,0.181173607069
18125,12837,3244,0.252707018774
18127,146798,31689,0.215868063598
18129,27061,6531,0.241343631056
18131,13755,2413,0.175427117412
18133,36019,5943,0.164996251978
18135,27401,5641,0.205868398964
18137,26523,5761,0.217207706519
18139,18261,4335,0.237391161492
18141,265559,21189,0.0797901784538
18143,22960,4450,0.19381533101
18145,43445,8949,0.205984578202
18147,20391,5280,0.258937766662
18149,23556,5160,0.219052470708
18151,33214,5005,0.150689468297
18153,21751,4301,0.197738035033
18155,9065,2491,0.274793160507
18157,148955,5585,0.0374945453325
18159,16577,4532,0.273390842734
18161,7349,2165,0.294597904477
18163,171922,8535,0.0496446062749
18165,16788,3957,0.235704074339
18167,105848,4914,0.0464250623536
18169,34960,4459,0.12754576659
18171,8419,2838,0.337094666825
18173,52383,16855,0.321764694653
18175,27223,6214,0.228262865959
18177,71097,4488,0.0631250263724
18179,27600,5637,0.204239130435
18181,25267,4452,0.17619820319
18183,30707,7640,0.248803204481
19001,8243,1422,0.172510008492
19003,4482,698,0.1557340473
19005,14675,1748,0.119114139693
19007,13721,1170,0.0852707528606
19009,6830,949,0.138945827233
19011,25308,7306,0.288683420262
19013,128012,4137,0.0323172827547
19015,26224,5655,0.215642159854
19017,23325,4357,0.18679528403
19019,21093,3885,0.184184326554
19021,20411,1395,0.0683454999755
19023,15305,3747,0.24482195361
19025,11115,1736,0.156185335133
19027,21421,1032,0.048177022548
19029,14684,1404,0.0956142740398
19031,18187,5474,0.300984219497
19033,46447,2072,0.044609985575
19035,13035,1087,0.0833908707326
19037,13095,1740,0.132875143184
19039,9133,1044,0.114310741268
19041,17372,1176,0.0676951416072
19043,18678,2674,0.143163079559
19045,50149,5464,0.108955313167
19047,16942,1355,0.0799787510329
19049,40750,13600,0.333742331288
19051,8541,1483,0.173633064044
19053,8689,1286,0.148003222465
19055,18404,3195,0.173603564443
19057,42351,2159,0.0509787254138
19059,16424,1614,0.0982708231856
19061,89143,2778,0.0311634115971
19063,11027,1446,0.131132674345
19065,22008,2656,0.120683387859
19067,16900,2359,0.139585798817
19069,10704,1652,0.154334828102
19071,8010,1743,0.217602996255
19073,10366,1311,0.126471155701
19075,12369,2776,0.224432047862
19077,11353,2639,0.2324495728
19079,16438,2090,0.127144421462
19081,12100,2106,0.174049586777
19083,18812,1917,0.101903040612
19085,15666,3344,0.21345589174
19087,20336,2000,0.0983477576711
19089,9932,1118,0.112565445026
19091,10381,1342,0.129274636355
19093,7837,730,0.0931478882225
19095,15671,2553,0.162912385936
19097,20296,3699,0.182252660623
19099,37213,5607,0.150673151856
19101,16181,1094,0.0676101600643
19103,111006,8864,0.0798515395564
19105,20221,3974,0.196528361604
19107,11400,2597,0.227807017544
19109,17163,1571,0.0915341140826
19111,38052,3153,0.0828602964365
19113,191701,8374,0.0436826098977
19115,12183,3059,0.251087581056
19117,9422,1171,0.124283591594
19119,11763,2199,0.186942106605
19121,14019,3687,0.263000213995
19123,22335,4045,0.18110588762
19125,32052,3318,0.103519281168
19127,39311,3072,0.0781460659866
19129,14547,3649,0.250842098027
19131,10874,1349,0.124057384587
19133,10020,1398,0.139520958084
19135,8016,1488,0.185628742515
19137,11771,1028,0.087333276697
19139,41722,3996,0.0957768083984
19141,15102,1946,0.128857105019
19143,7003,1072,0.153077252606
19145,16976,1594,0.0938972667295
19147,10147,1199,0.118163003844
19149,24849,4296,0.172884220693
19151,8662,1067,0.12318171323
19153,374601,11631,0.0310490361745
19155,87704,19531,0.222692237526
