source,dest,data,model
13303,Canada,0,0
13303,Mexico,0,0
13305,Canada,0,0
13305,Mexico,0,0
13307,Canada,0,0
13307,Mexico,0,0
13309,Canada,0,0
13309,Mexico,0,0
13311,Canada,0,0
13311,Mexico,0,0
13313,Canada,0,0
13313,Mexico,0,0
13315,Canada,0,0
13315,Mexico,0,0
13317,Canada,0,0
13317,Mexico,0,0
13319,Canada,0,0
13319,Mexico,0,0
13321,Canada,0,0
13321,Mexico,0,0
16001,Canada,0,23
16001,Mexico,0,3
16003,Canada,0,0
16003,Mexico,0,0
16005,Canada,5,0
16005,Mexico,0,0
16007,Canada,0,0
16007,Mexico,0,0
16009,Canada,0,0
16009,Mexico,0,0
16011,Canada,0,1
16011,Mexico,0,0
16013,Canada,0,0
16013,Mexico,0,0
16015,Canada,0,0
16015,Mexico,0,0
16017,Canada,0,47
16017,Mexico,0,0
16019,Canada,0,2
16019,Mexico,0,0
16021,Canada,3,6
16021,Mexico,0,0
16023,Canada,0,0
16023,Mexico,0,0
16025,Canada,3,0
16025,Mexico,0,0
16027,Canada,0,23
16027,Mexico,0,2
16029,Canada,0,0
16029,Mexico,0,0
16031,Canada,0,0
16031,Mexico,0,0
16033,Canada,0,0
16033,Mexico,0,0
16035,Canada,0,0
16035,Mexico,0,0
16037,Canada,0,0
16037,Mexico,0,0
16039,Canada,0,0
16039,Mexico,0,0
16041,Canada,0,0
16041,Mexico,0,0
16043,Canada,0,0
16043,Mexico,0,0
16045,Canada,0,0
16045,Mexico,0,0
16047,Canada,0,0
16047,Mexico,0,0
16049,Canada,0,0
16049,Mexico,0,0
16051,Canada,0,1
16051,Mexico,0,0
16053,Canada,0,0
16053,Mexico,0,0
16055,Canada,4,249
16055,Mexico,0,0
16057,Canada,0,8
16057,Mexico,0,0
16059,Canada,0,0
16059,Mexico,0,0
16061,Canada,0,0
16061,Mexico,0,0
16063,Canada,0,0
16063,Mexico,0,0
16065,Canada,21,0
16065,Mexico,0,0
16067,Canada,0,0
16067,Mexico,0,0
16069,Canada,0,3
16069,Mexico,0,0
16071,Canada,4,0
16071,Mexico,0,0
16073,Canada,0,0
16073,Mexico,0,0
16075,Canada,10,0
16075,Mexico,0,0
16077,Canada,0,0
16077,Mexico,0,0
16079,Canada,8,1
16079,Mexico,0,0
16081,Canada,0,0
16081,Mexico,0,0
16083,Canada,6,0
16083,Mexico,0,0
16085,Canada,0,0
16085,Mexico,0,0
16087,Canada,0,0
16087,Mexico,0,0
17001,Canada,0,0
17001,Mexico,0,0
17003,Canada,0,0
17003,Mexico,0,0
17005,Canada,0,0
17005,Mexico,0,0
17007,Canada,0,0
17007,Mexico,0,0
17009,Canada,0,0
17009,Mexico,0,0
17011,Canada,0,0
17011,Mexico,6,0
17013,Canada,0,0
17013,Mexico,0,0
17015,Canada,0,0
17015,Mexico,0,0
17017,Canada,0,0
17017,Mexico,0,0
17019,Canada,8,0
17019,Mexico,0,0
17021,Canada,0,0
17021,Mexico,0,0
17023,Canada,0,0
17023,Mexico,0,0
17025,Canada,0,0
17025,Mexico,0,0
17027,Canada,0,0
17027,Mexico,0,0
17029,Canada,0,0
17029,Mexico,0,0
17031,Canada,53,4380
17031,Mexico,173,1367
17033,Canada,0,0
17033,Mexico,0,0
17035,Canada,0,0
17035,Mexico,0,0
17037,Canada,0,1
