res,work,total,male,female
1008033,1008033,50,0,40
1008031,1008035,60,20,40
4713836,4713836,45,25,20
4713835,4713835,45,10,35
4703038,4703036,40,0,35
4703036,4703036,795,385,405
4703034,4703068,30,0,30
5931021,5931020,110,55,55
4606040,4607062,35,25,15
4701096,4701096,60,10,50
4701094,4701096,25,0,25
4708056,4708056,45,20,30
1302018,1302018,285,120,160
4701091,4701078,45,10,35
1302016,1302037,40,15,25
2439020,2439077,25,15,0
1302012,1302018,55,20,35
4708058,4708058,235,95,140
2439025,2442098,20,15,10
1302011,1302037,20,15,10
2405020,2405032,30,15,15
2487090,2499060,55,45,10
2405025,2405040,25,20,10
1313038,1313042,35,15,20
1313039,1313042,35,20,15
1313036,1313042,30,15,15
1313034,1313039,35,15,20
1313035,1313035,85,55,30
1313032,1313027,200,110,85
1313033,1313027,50,35,20
4707018,4708004,120,45,70
4717809,4717809,55,25,35
2414055,2414085,45,10,35
4617029,4617029,70,25,45
4617026,4617042,25,0,25
2409005,2409075,25,15,0
2401015,2401040,25,15,0
2417035,2417070,25,20,15
2417030,2417070,35,20,20
4810016,4811061,510,300,210
2439117,2449075,30,20,10
2414030,2414030,55,25,25
2413020,2413020,70,50,15
2441055,2443035,35,20,10
2413025,2413095,110,70,40
2418035,2418060,25,30,0
2448020,2454045,30,20,10
2462030,2466025,20,10,15
2418030,2419030,40,20,20
3558044,3558044,605,275,335
1001312,1001312,65,25,40
4601060,4611040,25,15,10
2461030,2466075,55,50,0
2419030,2424020,65,20,45
